iter	Passed	Remaining
618	12643	7781
619	12663	7761
620	12686	7742
621	12707	7722
622	12727	7702
623	12748	7682
624	12768	7661
625	12789	7640
626	12809	7620
627	12832	7601
628	12852	7580
629	12872	7560
630	12892	7539
631	12913	7519
632	12933	7498
633	12953	7477
634	12972	7456
635	12992	7435
636	13013	7415
637	13032	7394
638	13051	7373
639	13070	7352
640	13091	7332
641	13114	7312
642	13134	7292
643	13153	7271
644	13172	7250
645	13191	7228
646	13210	7207
647	13229	7186
648	13249	7165
649	13269	7144
650	13288	7123
651	13308	7103
652	13328	7082
653	13348	7062
654	13369	7041
655	13388	7020
656	13409	7000
657	13427	6979
658	13447	6958
659	13466	6937
660	13485	6916
661	13506	6895
662	13525	6875
663	13546	6854
664	13565	6833
665	13585	6813
666	13605	6792
667	13625	6771
668	13644	6750
669	13664	6730
670	13682	6708
671	13702	6688
672	13723	6667
673	13742	6646
674	13764	6627
675	13785	6607
676	13805	6586
677	13823	6565
678	13842	6544
679	13861	6523
680	13881	6502
681	13901	6482
682	13921	6461
683	13941	6440
684	13962	6420
685	13982	6400
686	14004	6380
687	14024	6359
688	14043	6339
689	14063	6318
690	14084	6298
691	14105	6277
692	14124	6257
693	14145	6236
694	14166	6216
695	14186	6196
696	14208	6176
697	14228	6156
698	14250	6136
699	14270	6116
700	14292	6096
701	14315	6076
702	14335	6056
703	14355	6035
704	14375	6015
705	14397	5995
706	14423	5977
707	14443	5957
708	14464	5936
709	14483	5915
710	14505	5896
711	14529	5877
712	14552	5857
713	14574	5838
714	14597	5818
715	14620	5799
716	14646	5780
717	14670	5762
718	14694	5742
719	14715	5722
720	14737	5702
721	14759	5683
722	14779	5662
723	14800	5642
724	14821	5621
725	14843	5602
726	14866	5582
727	14887	5562
728	14907	5541
729	14927	5521
730	14949	5501
731	14970	5480
732	14990	5460
733	15010	5439
734	15031	5419
735	15053	5399
736	15075	5379
737	15096	5359
738	15115	5338
739	15136	5318
740	15157	5298
741	15178	5277
742	15197	5256
743	15217	5235
744	15238	5215
745	15259	5195
746	15280	5175
747	15300	5154
748	15321	5134
749	15342	5114
750	15362	5093
751	15383	5073
752	15403	5052
753	15423	5031
754	15443	5011
755	15464	4991
756	15485	4970
757	15507	4950
758	15528	4930
759	15548	4910
760	15570	4889
761	15589	4869
762	15609	4848
763	15629	4827
764	15651	4807
765	15670	4787
766	15691	4766
767	15711	4746
768	15733	4726
769	15755	4706
770	15775	4685
771	15795	4664
772	15815	4644
773	15834	4623
774	15854	4603
775	15875	4582
776	15897	4562
777	15916	4541
778	15937	4521
779	15959	4501
780	15980	4481
781	16001	4460
782	16021	4440
783	16041	4419
784	16062	4399
785	16081	4378
786	16101	4357
787	16121	4337
788	16141	4316
789	16163	4296
790	16184	4276
791	16204	4255
792	16225	4235
793	16245	4214
794	16264	4194
795	16284	4173
796	16304	4152
797	16326	4132
798	16344	4111
799	16364	4091
800	16386	4071
801	16408	4051
802	16430	4030
803	16449	4010
804	16469	3989
805	16490	3969
806	16509	3948
807	16529	3927
808	16549	3907
809	16570	3886
810	16590	3866
811	16612	3846
812	16634	3826
813	16655	3805
814	16675	3785
815	16695	3764
816	16715	3744
817	16738	3724
818	16759	3703
819	16781	3683
820	16806	3664
821	16832	3645
822	16855	3625
823	16876	3604
824	16898	3584
825	16923	3565
826	16946	3544
827	16968	3524
828	16989	3504
829	17009	3483
830	17031	3463
831	17054	3443
832	17076	3423
833	17098	3403
834	17119	3382
835	17140	3362
836	17161	3342
837	17182	3321
838	17203	3301
839	17224	3280
840	17247	3260
841	17271	3240
842	17292	3220
843	17316	3200
844	17337	3180
845	17358	3159
846	17379	3139
847	17398	3118
848	17419	3098
849	17438	3077
850	17459	3057
851	17480	3036
852	17500	3015
853	17520	2995
854	17540	2974
855	17561	2954
856	17580	2933
857	17601	2913
858	17620	2892
859	17640	2871
860	17661	2851
861	17682	2830
862	17705	2810
863	17726	2790
864	17748	2769
865	17769	2749
866	17791	2729
867	17812	2708
868	17832	2688
869	17852	2667
870	17876	2647
871	17897	2627
872	17919	2606
873	17942	2586
874	17963	2566
875	17984	2545
876	18006	2525
877	18026	2504
878	18046	2484
879	18067	2463
880	18089	2443
881	18108	2422
882	18130	2402
883	18151	2381
884	18171	2361
885	18192	2340
886	18212	2320
887	18233	2299
888	18253	2279
889	18272	2258
890	18292	2237
891	18313	2217
892	18336	2197
893	18357	2176
894	18377	2156
895	18399	2135
896	18420	2115
897	18440	2094
898	18460	2074
899	18480	2053
900	18502	2032
901	18521	2012
902	18541	1991
903	18562	1971
904	18585	1950
905	18605	1930
906	18625	1909
907	18646	1889
908	18666	1868
909	18685	1848
910	18706	1827
911	18727	1807
912	18747	1786
913	18767	1765
914	18789	1745
915	18810	1725
916	18832	1704
917	18851	1683
918	18871	1663
919	18891	1642
920	18904	1621
921	18925	1601
922	18947	1580
923	18967	1560
924	18990	1539
925	19015	1519
926	19040	1499
927	19063	1479
928	19085	1458
929	19108	1438
930	19130	1417
931	19153	1397
932	19178	1377
933	19201	1356
934	19223	1336
935	19248	1316
936	19268	1295
937	19291	1275
938	19312	1254
939	19332	1234
940	19354	1213
941	19376	1193
942	19398	1172
943	19418	1151
944	19442	1131
945	19462	1110
946	19483	1090
947	19502	1069
948	19524	1049
949	19544	1028
950	19564	1008
951	19584	987
952	19606	966
953	19628	946
954	19648	925
955	19671	905
956	19691	884
957	19711	864
958	19731	843
959	19752	823
960	19773	802
961	19794	781
962	19813	761
963	19833	740
964	19855	720
965	19876	699
966	19896	678
967	19916	658
968	19936	637
969	19955	617
970	19975	596
971	19995	576
972	20017	555
973	20036	534
974	20056	514
975	20077	493
976	20099	473
977	20118	452
978	20138	431
979	20158	411
980	20178	390
981	20199	370
982	20219	349
983	20239	329
984	20258	308
985	20280	287
986	20304	267
987	20324	246
988	20343	226
989	20363	205
990	20382	185
991	20403	164
992	20424	143
993	20445	123
994	20464	102
995	20484	82
996	20504	61
997	20526	41
998	20546	20
999	20566	0
